"","Year","State","irrigated_sum","non_irrigated_sum","total","pc_irr","pc_non_irr"
"158",1981,"TEXAS",138.3,80.8,219.1,0.631218621633957,0.368781378366043
"159",1981,"WYOMING",110.8,34,144.8,0.765193370165746,0.234806629834254
"160",1982,"COLORADO",131,48,179,0.731843575418994,0.268156424581006
"161",1982,"KANSAS",128,82,210,0.60952380952381,0.39047619047619
"162",1982,"MONTANA",100,0,100,1,0
"163",1982,"NEBRASKA",123,84.6,207.6,0.592485549132948,0.407514450867052
"164",1982,"NORTH DAKOTA",110.3,62.9,173.2,0.636836027713626,0.363163972286374
"165",1982,"TEXAS",130.4,68.2,198.6,0.656596173212487,0.343403826787513
"166",1982,"WYOMING",106.4,39,145.4,0.731774415405777,0.268225584594223
"167",1983,"COLORADO",125,38.5,163.5,0.764525993883792,0.235474006116208
"168",1983,"KANSAS",120,36,156,0.769230769230769,0.230769230769231
"169",1983,"MONTANA",105,0,105,1,0
"170",1983,"NEBRASKA",116,58.4,174.4,0.665137614678899,0.334862385321101
"171",1983,"NORTH DAKOTA",107.4,63,170.4,0.630281690140845,0.369718309859155
"172",1983,"TEXAS",125.4,66.7,192.1,0.652785007808433,0.347214992191567
"173",1983,"WYOMING",104,0,104,1,0
"174",1984,"COLORADO",137,35,172,0.796511627906977,0.203488372093023
"175",1984,"KANSAS",147,66,213,0.690140845070423,0.309859154929577
"176",1984,"MONTANA",92,0,92,1,0
"177",1984,"NEBRASKA",134,78.4,212.4,0.630885122410546,0.369114877589454
"178",1984,"NEW MEXICO",151.3,31,182.3,0.829950630828305,0.170049369171695
"179",1984,"NORTH DAKOTA",110.1,60.9,171,0.643859649122807,0.356140350877193
"180",1984,"SOUTH DAKOTA",121.1,63,184.1,0.657794676806084,0.342205323193916
"181",1984,"TEXAS",139.2,51.6,190.8,0.729559748427673,0.270440251572327
"182",1984,"WYOMING",100,0,100,1,0
"183",1985,"COLORADO",142.5,36,178.5,0.798319327731092,0.201680672268908
"184",1985,"KANSAS",147,94,241,0.609958506224066,0.390041493775934
"185",1985,"MONTANA",95,0,95,1,0
"186",1985,"NEBRASKA",141.5,99.5,241,0.587136929460581,0.412863070539419
"187",1985,"NEW MEXICO",156.3,16.7,173,0.903468208092486,0.0965317919075144
"188",1985,"NORTH DAKOTA",99.4,68.5,167.9,0.592019058963669,0.407980941036331
"189",1985,"OKLAHOMA",123.4,80.9,204.3,0.604013705335291,0.395986294664709
"190",1985,"SOUTH DAKOTA",123.1,81.2,204.3,0.602545276554087,0.397454723445913
"191",1985,"TEXAS",138.7,75.1,213.8,0.648737137511693,0.351262862488307
"192",1985,"WYOMING",98,0,98,1,0
"193",1986,"COLORADO",149,42,191,0.780104712041885,0.219895287958115
"194",1986,"KANSAS",150,104,254,0.590551181102362,0.409448818897638
"195",1986,"MONTANA",115,0,115,1,0
"196",1986,"NEBRASKA",140.5,100.7,241.2,0.582504145936982,0.417495854063018
"197",1986,"NEW MEXICO",152,26.5,178.5,0.851540616246499,0.148459383753501
"198",1986,"NORTH DAKOTA",123.5,89.3,212.8,0.580357142857143,0.419642857142857
"199",1986,"OKLAHOMA",144.4,81.8,226.2,0.638373121131742,0.361626878868258
"200",1986,"SOUTH DAKOTA",124.7,79,203.7,0.612174766813942,0.387825233186058
"201",1986,"TEXAS",148.1,81,229.1,0.646442601484068,0.353557398515932
"202",1986,"WYOMING",114,0,114,1,0
"203",1987,"COLORADO",158,50,208,0.759615384615385,0.240384615384615
"204",1987,"KANSAS",134,91,225,0.595555555555556,0.404444444444444
"205",1987,"MONTANA",105,0,105,1,0
"206",1987,"NEBRASKA",148,92.5,240.5,0.615384615384615,0.384615384615385
"207",1987,"NEW MEXICO",156.6,18.2,174.8,0.895881006864989,0.104118993135011
"208",1987,"NORTH DAKOTA",127,88.8,215.8,0.588507877664504,0.411492122335496
"209",1987,"OKLAHOMA",107,72.7,179.7,0.595436839176405,0.404563160823595
"210",1987,"SOUTH DAKOTA",126.8,79.6,206.4,0.614341085271318,0.385658914728682
"211",1987,"TEXAS",146,76.4,222.4,0.656474820143885,0.343525179856115
"212",1987,"WYOMING",111,0,111,1,0
"213",1988,"COLORADO",162.9,54.9,217.8,0.747933884297521,0.252066115702479
"214",1988,"KANSAS",149,70,219,0.680365296803653,0.319634703196347
"215",1988,"MONTANA",110,0,110,1,0
"216",1988,"NEBRASKA",146,73.4,219.4,0.665451230628988,0.334548769371012
"217",1988,"NEW MEXICO",156.8,25,181.8,0.862486248624862,0.137513751375137
"218",1988,"NORTH DAKOTA",110,49.6,159.6,0.68922305764411,0.31077694235589
"219",1988,"OKLAHOMA",115,57.4,172.4,0.667053364269142,0.332946635730858
"220",1988,"SOUTH DAKOTA",117.1,49.7,166.8,0.702038369304556,0.297961630695444
"221",1988,"TEXAS",137.8,63,200.8,0.686254980079681,0.313745019920319
"222",1988,"WYOMING",122,0,122,1,0
"223",1989,"COLORADO",148,55,203,0.729064039408867,0.270935960591133
"224",1989,"KANSAS",148,67,215,0.688372093023256,0.311627906976744
"225",1989,"MONTANA",80,0,80,1,0
"226",1989,"NEBRASKA",142.5,67.3,209.8,0.679218303145853,0.320781696854147
"227",1989,"NEW MEXICO",161.2,12.5,173.7,0.928036845135291,0.0719631548647093
"228",1989,"NORTH DAKOTA",112,69.7,181.7,0.616400660429279,0.383599339570721
"229",1989,"OKLAHOMA",146.4,76.6,223,0.656502242152466,0.343497757847534
"230",1989,"SOUTH DAKOTA",122,67.7,189.7,0.643120716921455,0.356879283078545
"231",1989,"TEXAS",137.7,68.8,206.5,0.66682808716707,0.33317191283293
"232",1989,"WYOMING",95,0,95,1,0
"233",1990,"COLORADO",158,57.5,215.5,0.733178654292343,0.266821345707657
"234",1990,"KANSAS",153.6,78.8,232.4,0.660929432013769,0.339070567986231
"235",1990,"MONTANA",95,0,95,1,0
"236",1990,"NEBRASKA",145.5,88.7,234.2,0.621263877028181,0.378736122971819
"237",1990,"NEW MEXICO",146.3,19.5,165.8,0.882388419782871,0.117611580217129
"238",1990,"NORTH DAKOTA",124,73.5,197.5,0.627848101265823,0.372151898734177
"239",1990,"OKLAHOMA",140,58.3,198.3,0.706001008572869,0.293998991427131
"240",1990,"SOUTH DAKOTA",123.4,75,198.4,0.621975806451613,0.378024193548387
"241",1990,"TEXAS",141,39.2,180.2,0.782463928967814,0.217536071032187
"242",1990,"WYOMING",120,0,120,1,0
"243",1991,"COLORADO",159,54.5,213.5,0.744730679156909,0.255269320843091
"244",1991,"KANSAS",156.1,54.9,211,0.739810426540284,0.260189573459716
"245",1991,"MONTANA",120,0,120,1,0
"246",1991,"NEBRASKA",150.5,77.2,227.7,0.660957400087835,0.339042599912165
