"","year","state","region","irrigated","non_irrigated","pct_irr","pct_non_irr"
"189",1994,"SOUTH DAKOTA","north",140,106.2,0.568643379366369,0.431356620633631
"190",1994,"TEXAS","south",150.3,83,0.644234890698671,0.355765109301329
"191",1995,"KANSAS","mid",143,70,0.671361502347418,0.328638497652582
"192",1995,"MONTANA","north",120,NA,NA,NA
"193",1995,"NEBRASKA","mid",130.1,73,0.640571147218119,0.359428852781881
"194",1995,"NORTH DAKOTA","north",101.4,76.2,0.570945945945946,0.429054054054054
"195",1995,"OKLAHOMA","south",153.6,72.8,0.678445229681979,0.321554770318021
"196",1995,"SOUTH DAKOTA","north",118,76.5,0.606683804627249,0.393316195372751
"197",1995,"TEXAS","south",148.5,81.6,0.645371577574967,0.354628422425033
"198",1996,"KANSAS","mid",177,105,0.627659574468085,0.372340425531915
"199",1996,"MONTANA","north",137,NA,NA,NA
"200",1996,"NEBRASKA","mid",156.4,115,0.576271186440678,0.423728813559322
"201",1996,"NORTH DAKOTA","north",120.2,87.4,0.578998073217726,0.421001926782274
"202",1996,"OKLAHOMA","south",171,82.5,0.674556213017751,0.325443786982249
"203",1996,"SOUTH DAKOTA","north",140,98,0.588235294117647,0.411764705882353
"204",1996,"TEXAS","south",172.3,40.5,0.80968045112782,0.19031954887218
"205",1997,"KANSAS","mid",176,92,0.656716417910448,0.343283582089552
"206",1997,"MONTANA","north",135,NA,NA,NA
"207",1997,"NEBRASKA","mid",151.6,99,0.604948124501197,0.395051875498803
"208",1997,"NORTH DAKOTA","north",121.7,96.4,0.558000917010546,0.441999082989454
"209",1997,"OKLAHOMA","south",163.4,89,0.647385103011094,0.352614896988906
"210",1997,"SOUTH DAKOTA","north",133,94.1,0.585645090268604,0.414354909731396
"211",1997,"TEXAS","south",182.3,87.8,0.674935209181785,0.325064790818215
"212",1998,"KANSAS","mid",181,104,0.635087719298246,0.364912280701754
"213",1998,"MONTANA","north",115,NA,NA,NA
"214",1998,"NEBRASKA","mid",161.3,119,0.575454869782376,0.424545130217624
"215",1998,"NORTH DAKOTA","north",134.5,104.6,0.562526139690506,0.437473860309494
"216",1998,"OKLAHOMA","south",158.1,55,0.741905208822149,0.258094791177851
"217",1998,"SOUTH DAKOTA","north",150,119.7,0.556173526140156,0.443826473859844
"218",1998,"TEXAS","south",157,32.9,0.826750921537651,0.173249078462349
"219",1999,"KANSAS","mid",182,93,0.661818181818182,0.338181818181818
"220",1999,"MONTANA","north",110,NA,NA,NA
"221",1999,"NEBRASKA","mid",159.4,111,0.589497041420118,0.410502958579882
"222",1999,"NORTH DAKOTA","north",146.1,114.2,0.561275451402228,0.438724548597772
"223",1999,"OKLAHOMA","south",186.3,76.2,0.709714285714286,0.290285714285714
"224",1999,"SOUTH DAKOTA","north",150,111.3,0.574052812858783,0.425947187141217
"225",1999,"TEXAS","south",171.3,85.2,0.667836257309942,0.332163742690058
"226",2000,"KANSAS","mid",175,82,0.680933852140078,0.319066147859922
"227",2000,"MONTANA","north",140,NA,NA,NA
"228",2000,"NEBRASKA","mid",154.4,84,0.647651006711409,0.352348993288591
"229",2000,"NORTH DAKOTA","north",143.7,109.5,0.567535545023697,0.432464454976303
"230",2000,"OKLAHOMA","south",163.6,99.3,0.622289844047166,0.377710155952834
"231",2000,"SOUTH DAKOTA","north",155,110.2,0.58446455505279,0.41553544494721
"232",2000,"TEXAS","south",165.6,86.3,0.65740373163954,0.342596268360461
"233",2001,"KANSAS","mid",173,84,0.673151750972763,0.326848249027237
"234",2001,"MONTANA","north",148,NA,NA,NA
"235",2001,"NEBRASKA","mid",173,110,0.6113074204947,0.3886925795053
"236",2001,"NORTH DAKOTA","north",149.6,111.6,0.572741194486983,0.427258805513017
"237",2001,"OKLAHOMA","south",162,70.6,0.696474634565778,0.303525365434222
"238",2001,"SOUTH DAKOTA","north",157.8,107.1,0.595696489241223,0.404303510758777
"239",2001,"TEXAS","south",166.5,77.2,0.68321707016824,0.31678292983176
"240",2002,"KANSAS","mid",160,60,0.727272727272727,0.272727272727273
"241",2002,"MONTANA","north",140,NA,NA,NA
"242",2002,"NEBRASKA","mid",166.2,62,0.728308501314636,0.271691498685364
"243",2002,"NORTH DAKOTA","north",142.8,112,0.56043956043956,0.43956043956044
"244",2002,"OKLAHOMA","south",166.7,84.7,0.663086714399364,0.336913285600636
"245",2002,"SOUTH DAKOTA","north",141,92.9,0.602821718683198,0.397178281316802
"246",2002,"TEXAS","south",187.4,64.8,0.743061062648692,0.256938937351308
"247",2003,"KANSAS","mid",169,61,0.734782608695652,0.265217391304348
"248",2003,"MONTANA","north",140,NA,NA,NA
"249",2003,"NEBRASKA","mid",185.5,82,0.693457943925234,0.306542056074766
"250",2003,"NORTH DAKOTA","north",140.9,110.1,0.561354581673307,0.438645418326693
"251",2003,"OKLAHOMA","south",150.5,93.5,0.616803278688525,0.383196721311475
"252",2003,"SOUTH DAKOTA","north",174.2,108.4,0.616418966737438,0.383581033262562
"253",2003,"TEXAS","south",180.7,73.3,0.711417322834646,0.288582677165354
"254",2004,"KANSAS","mid",192,110,0.635761589403974,0.364238410596026
"255",2004,"MONTANA","north",143,NA,NA,NA
"256",2004,"NEBRASKA","mid",186.1,134,0.581380818494221,0.418619181505779
"257",2004,"NORTH DAKOTA","north",118.8,104.1,0.532974427994616,0.467025572005384
"258",2004,"OKLAHOMA","south",195,95,0.672413793103448,0.327586206896552
"259",2004,"SOUTH DAKOTA","north",169.9,128.4,0.569560844787127,0.430439155212873
"260",2004,"TEXAS","south",193,92.5,0.67600700525394,0.32399299474606
"261",2005,"KANSAS","mid",187,94,0.665480427046263,0.334519572953737
"262",2005,"MONTANA","north",148,NA,NA,NA
"263",2005,"NEBRASKA","mid",184.7,108.5,0.629945429740791,0.370054570259209
"264",2005,"NORTH DAKOTA","north",156.5,127.5,0.551056338028169,0.448943661971831
"265",2005,"OKLAHOMA","south",161.3,75.6,0.680878007598143,0.319121992401857
"266",2005,"SOUTH DAKOTA","north",170,116.8,0.592747559274756,0.407252440725244
"267",2005,"TEXAS","south",179,70.6,0.717147435897436,0.282852564102564
"268",2006,"KANSAS","mid",173,72,0.706122448979592,0.293877551020408
"269",2006,"MONTANA","north",146,NA,NA,NA
"270",2006,"NEBRASKA","mid",184.8,101,0.646606018194542,0.353393981805458
"271",2006,"NORTH DAKOTA","north",158.8,108.3,0.594533882441033,0.405466117558967
"272",2006,"OKLAHOMA","south",160,54.8,0.74487895716946,0.25512104283054
"273",2006,"SOUTH DAKOTA","north",168.7,93.1,0.644385026737968,0.355614973262032
"274",2006,"TEXAS","south",179,72,0.713147410358566,0.286852589641434
"275",2007,"KANSAS","mid",193,97,0.66551724137931,0.33448275862069
"276",2007,"MONTANA","north",140,NA,NA,NA
"277",2007,"NEBRASKA","mid",181.2,125,0.591770084911822,0.408229915088178
"278",2007,"NORTH DAKOTA","north",147.6,114.5,0.563143838229683,0.436856161770317
"279",2007,"OKLAHOMA","south",184.6,102.3,0.643429766469153,0.356570233530847
"280",2007,"SOUTH DAKOTA","north",172.1,118.6,0.592019263845889,0.407980736154111
"281",2007,"TEXAS","south",199,101,0.663333333333333,0.336666666666667
"282",2008,"KANSAS","mid",183,97,0.653571428571429,0.346428571428571
"283",2008,"NEBRASKA","mid",184,130,0.585987261146497,0.414012738853503
"284",2008,"NORTH DAKOTA","north",153,123,0.554347826086957,0.445652173913043
"285",2008,"OKLAHOMA","south",159,67,0.70353982300885,0.29646017699115
"286",2008,"SOUTH DAKOTA","north",174,131,0.570491803278689,0.429508196721311
"287",2008,"TEXAS","south",174,62,0.73728813559322,0.26271186440678
"288",2009,"KANSAS","mid",205,123,0.625,0.375
"289",2009,"NEBRASKA","mid",198.6,149.8,0.570034443168771,0.429965556831229
"290",2009,"NORTH DAKOTA","north",121,121,0.5,0.5
"291",2009,"OKLAHOMA","south",110,110,0.5,0.5
"292",2009,"SOUTH DAKOTA","north",181,150,0.546827794561934,0.453172205438066
"293",2009,"TEXAS","south",187.2,48,0.795918367346939,0.204081632653061
"294",2010,"KANSAS","mid",186.5,91.2,0.671588044652503,0.328411955347497
"295",2010,"NEBRASKA","mid",185.6,137.5,0.574435159393377,0.425564840606623
"296",2010,"TEXAS","south",200.1,86.8,0.697455559428372,0.302544440571628
"297",2011,"KANSAS","mid",160.5,76.4,0.677501055297594,0.322498944702406
"298",2011,"NEBRASKA","mid",180,132,0.576923076923077,0.423076923076923
"299",2011,"TEXAS","south",131,40.8,0.762514551804424,0.237485448195576
"300",2012,"KANSAS","mid",170.2,49,0.776459854014598,0.223540145985401
"301",2012,"NEBRASKA","mid",190.1,58.5,0.764682220434433,0.235317779565567
"302",2012,"TEXAS","south",173.1,83.8,0.673803036200856,0.326196963799144
"303",2013,"KANSAS","mid",189.4,88,0.682768565248738,0.317231434751262
"304",2013,"NEBRASKA","mid",196,128.7,0.603634123806591,0.396365876193409
"305",2013,"TEXAS","south",193.4,83.4,0.698699421965318,0.301300578034682
"306",2014,"KANSAS","mid",196,121.8,0.616740088105727,0.383259911894273
"307",2014,"NEBRASKA","mid",201.1,147.5,0.576878944348824,0.423121055651176
"308",2014,"TEXAS","south",202.1,99.8,0.669426962570388,0.330573037429612
"309",2015,"KANSAS","mid",206.4,115.5,0.641192917054986,0.358807082945014
"310",2015,"NEBRASKA","mid",207.1,153.7,0.5740022172949,0.4259977827051
"311",2015,"TEXAS","south",183.9,75,0.710312862108922,0.289687137891078
"312",2016,"KANSAS","mid",189.3,120.3,0.611434108527132,0.388565891472868
"313",2016,"NEBRASKA","mid",199.9,147.2,0.575914721982138,0.424085278017862
"314",2016,"TEXAS","south",178.2,81.5,0.686176357335387,0.313823642664613
"315",2017,"KANSAS","mid",197.5,107.3,0.647965879265092,0.352034120734908
"316",2017,"NEBRASKA","mid",208.7,144.6,0.590716105292952,0.409283894707048
"317",2017,"TEXAS","south",192.3,101.2,0.655195911413969,0.344804088586031
"318",2018,"KANSAS","mid",195.4,102.5,0.655924806982209,0.344075193017791
"319",2018,"NEBRASKA","mid",215.8,160.3,0.573783568199947,0.426216431800053
"320",2018,"TEXAS","south",160,69,0.698689956331878,0.301310043668122
