"","state","year","value","total","avg_gdp","perc","region"
"127","Indiana","1984",2094.6,78858.8,2094.6,0.026561398347426,"mid"
"128","Indiana","1985",1964.9,82010.6,1964.9,0.0239590979702624,"mid"
"129","Indiana","1986",1652,86437.5,1652,0.0191120751988431,"mid"
"130","Indiana","1987",1688.3,91650.5,1688.3,0.0184210669881779,"mid"
"131","Indiana","1988",1198.2,99492.5,1198.2,0.0120431188280524,"mid"
"132","Indiana","1989",2108.7,107198.7,2108.7,0.0196709475021619,"mid"
"133","Indiana","1990",2148.2,110859.6,2148.2,0.0193776632785974,"mid"
"134","Indiana","1991",1529.2,114637,1529.2,0.0133394977188866,"mid"
"135","Indiana","1992",2108.4,124714.3,2108.4,0.0169058399878763,"mid"
"136","Indiana","1993",1964.6,132108.2,1964.6,0.0148711435020688,"mid"
"137","Indiana","1994",2246,143335.2,2246,0.0156695633731282,"mid"
"138","Indiana","1995",1699.5,150403.9,1699.5,0.0112995740137058,"mid"
"139","Indiana","1996",2750.1,158350.1,2750.1,0.017367213535072,"mid"
"140","Indiana","1997",2688.1,167366.3,2688.1,0.0160611783853739,"mid"
"141","Iowa","1963",1200,7921.2,1200,0.151492198151795,"mid"
"142","Iowa","1964",1112,8349.6,1112,0.133180032576411,"mid"
"143","Iowa","1965",1447.8,9196.3,1447.8,0.15743288061503,"mid"
"144","Iowa","1966",1603.4,10202.2,1603.4,0.157162180706122,"mid"
"145","Iowa","1967",1495.6,10617.1,1495.6,0.140867091767055,"mid"
"146","Iowa","1968",1420.2,11272.9,1420.2,0.12598355347781,"mid"
"147","Iowa","1969",1704,12331.6,1704,0.138181582276428,"mid"
"148","Iowa","1970",1752,12957.3,1752,0.135213354634067,"mid"
"149","Iowa","1971",1649.2,13666.2,1649.2,0.120677291419707,"mid"
"150","Iowa","1972",2046,15311.4,2046,0.133625925780791,"mid"
"151","Iowa","1973",3478.6,18502.3,3478.6,0.188009058333288,"mid"
"152","Iowa","1974",2823.8,19341.4,2823.8,0.145997704406093,"mid"
"153","Iowa","1975",3104.1,21992.9,3104.1,0.141141004596938,"mid"
"154","Iowa","1976",2681.8,24436.5,2681.8,0.109745667341886,"mid"
"155","Iowa","1977",2868.9,27011.4,2868.9,0.106210711033119,"mid"
"156","Iowa","1978",4048.5,30763.4,4048.5,0.131601188425207,"mid"
"157","Iowa","1979",3995.3,33496,3995.3,0.119276928588488,"mid"
"158","Iowa","1980",3411.8,34582.3,3411.8,0.0986574056670609,"mid"
"159","Iowa","1981",4696,38272.1,4696,0.122700348295495,"mid"
"160","Iowa","1982",3723.5,37289.3,3723.5,0.0998543818199859,"mid"
"161","Iowa","1983",2258.4,37480.8,2258.4,0.0602548504834475,"mid"
"162","Iowa","1984",3865.8,41264,3865.8,0.0936845676618845,"mid"
"163","Iowa","1985",3830.8,42431,3830.8,0.0902830477716764,"mid"
"164","Iowa","1986",3616.4,43225.9,3616.4,0.0836628040133346,"mid"
"165","Iowa","1987",3252.1,45282.8,3252.1,0.071817555451518,"mid"
"166","Iowa","1988",2654.1,49088.5,2654.1,0.054067653320024,"mid"
"167","Iowa","1989",3995,52907.1,3995,0.0755097141971493,"mid"
"168","Iowa","1990",4266.1,56121.5,4266.1,0.0760154308063755,"mid"
"169","Iowa","1991",3734.7,57944.2,3734.7,0.0644533879145799,"mid"
"170","Iowa","1992",4636.9,61870.3,4636.9,0.0749454908089988,"mid"
"171","Iowa","1993",2403,63385.5,2403,0.0379108786709894,"mid"
"172","Iowa","1994",4728.2,70161,4728.2,0.0673907156397429,"mid"
"173","Iowa","1995",3577.7,73136.6,3577.7,0.0489180519739775,"mid"
"174","Iowa","1996",6099,78819.2,6099,0.0773796232390078,"mid"
"175","Iowa","1997",5485,83113.2,5485,0.0659943306237758,"mid"
"176","Kansas","1963",549.5,6134.5,549.5,0.0895753525144674,"mid"
"177","Kansas","1964",455.3,6418.2,455.3,0.0709388925243838,"mid"
"178","Kansas","1965",539.7,6831.2,539.7,0.0790051528282,"mid"
"179","Kansas","1966",580.9,7400.6,580.9,0.0784936356511634,"mid"
"180","Kansas","1967",554.1,7760.4,554.1,0.0714009587134684,"mid"
"181","Kansas","1968",559,8487.3,559,0.0658631131219587,"mid"
"182","Kansas","1969",669.7,9165.7,669.7,0.0730658869480782,"mid"
"183","Kansas","1970",810.7,9754.8,810.7,0.0831078033378439,"mid"
"184","Kansas","1971",942.6,10824.5,942.6,0.0870802346528708,"mid"
"185","Kansas","1972",1221.8,12126.5,1221.8,0.100754545829382,"mid"
"186","Kansas","1973",1921.6,13999.6,1921.6,0.137261064601846,"mid"
"187","Kansas","1974",1665.2,15063.3,1665.2,0.110546825728758,"mid"
"188","Kansas","1975",1542.5,16854.8,1542.5,0.0915169565939673,"mid"
"189","Kansas","1976",1399.5,18953.1,1399.5,0.0738401633505864,"mid"
"190","Kansas","1977",1303.3,20538.6,1303.3,0.0634561265130048,"mid"
"191","Kansas","1978",1204.2,22824,1204.2,0.0527602523659306,"mid"
"192","Kansas","1979",2009.6,26300.4,2009.6,0.076409484266399,"mid"
